127.0.0.1 - - [02/Apr/2026:10:31:22 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:54 +0900] "GET /teamtwo/index.do HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:54 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:55 +0900] "GET /java/WEB-INF/classes/com/test/java/HomeController.java HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:55 +0900] "GET /java/WEB-INF/classes/com/test/java/HomeController.java HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:55 +0900] "GET /java/WEB-INF/classes/com/test/java/HomeController.java HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:55 +0900] "GET /java/WEB-INF/classes/com/test/java/HomeController.java HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:57 +0900] "GET /java HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:31:58 +0900] "GET /java/ HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:32:18 +0900] "GET /java HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2026:10:32:18 +0900] "GET /java/ HTTP/1.1" 200 170
